arm,lockin,coop,open_coop,proposal,proposal_frac,intention_only_frac,msg_len
L2_observed,0.0,0.4,0.8333333333333334,1,0.725,0.0,196.575
L2_observed,1.0,1.0,1.0,1,1.0,0.0,186.14285714285714
L2_observed,0.0,0.125,0.3333333333333333,1,0.85,0.0,183.275
L2_observed,1.0,1.0,1.0,1,1.0,0.0,151.05
L2_observed,0.0,0.3333333333333333,0.5,1,0.9166666666666666,0.041666666666666664,193.66666666666666
L2_observed,1.0,0.975,1.0,1,1.0,0.0,189.25
L2_observed,1.0,1.0,1.0,1,1.0,0.0,105.5
L2_observed,1.0,1.0,1.0,1,1.0,0.0,205.65
L2_observed,1.0,1.0,1.0,1,1.0,0.0,179.625
L2_observed,1.0,1.0,1.0,1,1.0,0.0,186.1
L2_observed,1.0,1.0,1.0,1,1.0,0.0,135.66666666666666
L2_observed,1.0,1.0,1.0,1,1.0,0.0,204.73529411764707
L2_observed,1.0,1.0,1.0,1,1.0,0.0,168.625
L2_observed,1.0,1.0,1.0,1,1.0,0.0,104.27777777777777
L2_observed,1.0,1.0,1.0,1,1.0,0.0,73.325
L2_observed,1.0,0.9375,1.0,1,0.9375,0.0,63.34375
L2_observed,1.0,1.0,1.0,1,1.0,0.0,65.81818181818181
L2_observed,1.0,1.0,1.0,1,1.0,0.0,74.25
L2_observed,1.0,0.9,0.3333333333333333,1,0.9,0.0,78.8
L2_observed,1.0,0.95,1.0,1,0.95,0.0,85.7
L2_observed,1.0,1.0,1.0,1,1.0,0.0,85.825
L2_observed,0.0,0.35714285714285715,0.5,1,0.7857142857142857,0.0,84.78571428571429
L2_observed,1.0,1.0,1.0,1,1.0,0.0,66.25
L2_observed,1.0,0.8627450980392157,0.8333333333333334,1,1.0,0.0,117.76923076923077
L2_observed,1.0,0.8571428571428571,0.6666666666666666,1,0.9642857142857143,0.0,115.375
L2_observed,0.0,0.7708333333333334,0.5,1,0.9375,0.0625,131.14583333333334
L2_observed,1.0,0.9090909090909091,1.0,1,1.0,0.0,130.86363636363637
L2_observed,0.0,0.46153846153846156,1.0,1,1.0,0.0,171.775
L2_observed,0.0,0.625,1.0,1,1.0,0.0,145.525
L2_observed,1.0,0.925,1.0,1,0.9736842105263158,0.0,140.975
L2_observed,1.0,0.85,1.0,1,1.0,0.0,141.9
L2_observed,0.0,0.2857142857142857,0.16666666666666666,1,1.0,0.0,156.64285714285714
L2_observed,0.0,0.15789473684210525,0.16666666666666666,1,0.8,0.2,164.525
L2_observed,1.0,0.9444444444444444,1.0,1,0.8888888888888888,0.0,132.72222222222223
L2_observed,0.0,0.525,1.0,1,0.575,0.0,123.75
L2_observed,1.0,0.90625,1.0,1,0.84375,0.0,148.46875
L2_observed,1.0,0.9090909090909091,1.0,1,1.0,0.0,125.86363636363636
L2_observed,1.0,0.9,1.0,1,0.925,0.0,145.65
L2_observed,0.0,0.725,0.6666666666666666,1,0.725,0.0,141.75
L2_observed,0.0,0.425,0.5,1,0.275,0.0,98.55
L2_observed,1.0,0.9,0.5,1,0.875,0.0,151.35
L2_observed,0.0,0.21428571428571427,0.3333333333333333,1,0.5,0.0,141.28571428571428
L2_observed,1.0,0.95,1.0,1,0.875,0.0,132.25
L3_private,1.0,0.9615384615384616,1.0,1,1.0,0.0,82.73076923076923
L3_private,1.0,0.8545454545454545,0.8181818181818182,1,0.9464285714285714,0.0,83.64285714285714
