experiment_id,cell_id,seed,game,channel,spec,pair,framing,n_rows,n_rounds,coop_mean,price_mean,price_last,refusal_rate,api_error_rate,msgs,rule_frac,full_rule_frac,trigger_frac,conseq_frac,target_frac,intention_frac,msg_len,any_rule,lockin,K,capacity,has_channel,free_text
A1,A1/L1_signal/canonical/same_origin_cn,110,ipd,L1_signal,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.075,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.55,0.55,20.65,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,111,ipd,L1_signal,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.2,0.2,19.6,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,112,ipd,L1_signal,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.175,0.175,19.525,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,113,ipd,L1_signal,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.05,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.175,0.175,19.525,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,114,ipd,L1_signal,canonical,qwen-72b+deepseek-v3,neutral,14,7,0.0,,,0.0,0.0,14,0.0,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,20.071428571428573,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,115,ipd,L1_signal,canonical,deepseek-v3+qwen-72b,neutral,14,7,0.14285714285714285,,,0.0,0.0,14,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,21.142857142857142,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,116,ipd,L1_signal,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.175,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.575,0.575,20.725,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,117,ipd,L1_signal,canonical,deepseek-v3+qwen-72b,neutral,24,12,0.041666666666666664,,,0.0,0.0,24,0.0,0.0,0.0,0.0,0.2916666666666667,0.2916666666666667,19.875,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,118,ipd,L1_signal,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.0,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.225,0.225,19.675,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,119,ipd,L1_signal,canonical,deepseek-v3+qwen-72b,neutral,10,5,0.3,,,0.0,0.0,10,0.0,0.0,0.0,0.0,0.9,0.9,21.7,0,0.0,,intention,1,0
